Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
React: Building Styles with CSS Modules (2017),"React styles and CSS styles haven't always agreed in the use of inline styling. As React development has grown, developers have figured out more and more ways of smoothly integrating and maintaining a style with their code. Whether you need to style a React-based user interface or want to create dramatic animation, this course gives you the keys you need to build attractive and maintainable style using React and CSS modules.",Course,2018-10-13 11:50 UTC,N/A,false,N/A,
Nano Tips for Influencing Those More Senior Than You with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, highlights effective ways to influence up. Increase your powers of persuasion by learning steps to prepare and align your goals with the goals of the leader you need to influence, proactive strategies for gaining buy-in, how to navigate disagreements, and how to manage the dynamics of your conversation.",Course,2024-11-03 22:44 UTC,N/A,false,N/A,
Building and Deploying a Full-Stack React Application,"React—a popular JavaScript framework—boasts a number of developer-friendly tools that can help you quickly and efficiently turn your ideas into fully-functioning applications. If you already have a solid grasp of the essentials of full-stack JavaScript web development, this practical, project-based course can help you get acquainted with React. Follow Carl Peaslee as he walks through how to plan, configure, create, and deploy a scalable, full-stack React and Relay application. As Carl explains how to lay out a UX roadmap, construct the foundation of an application, implement authentication, and connect your app to a remote database, you can practice what you learn by building a site where users can play simple games.",Course,2019-01-28 18:49 UTC,N/A,false,N/A,
Trauma-Informed Design,"<p>If you want to upskill as a designer, you can’t overlook the importance of a trauma-informed approach. It can improve your design efforts and deliver more caring and less harmful digital experiences. In this course, you'll learn how the six trauma-informed principles can help you design more positive and supportive experiences for everyone. These ideas apply to websites, apps, online forms, and beyond.</p><p>Learn the fundamentals of trauma, including its pervasiveness, types, impacts, and warning signs. Discover practical ways to design products and services like online forms and research protocols that care for users, participants, and designers. Join instructors and researchers Melissa Eggleston and Carol Scott as they show you what it takes to become more trauma-informed. By the end of this course, you’ll have foundational ideas to improve your design efforts and create more equitable, ethical, and welcoming experiences for all.</p>",Course,2025-03-13 11:25 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch continues to evolve. In this course, Garrick Chow explores the features and capabilities of the latest Apple Watch OS, including Siri, the updated interface, and bundled app capabilities. Learn how to manage your Watch, including the haptic alert system, theater mode, and more. Discover ways you can communicate using your Apple Watch, as well as ways to view and work with apps. Get useful tips on using Siri, and learn about the variety of health and safety features that your Watch offers. Plus, find out how to take a screenshot, find your iPhone, force quit apps, and more.",Course,2025-03-15 22:25 UTC,N/A,false,N/A,
Vanilla JavaScript: Animations,"Explore strategies and techniques for animating content using JavaScript and native web technologies. In this focused course, instructor Joseph Labrecque demonstrates how to use vanilla JavaScript to perform common animations within modern web browsers. Joseph begins by covering basic web development concepts, including how to create an HTML document and style it with CSS. He then goes into JavaScript animation fundamentals, looking at how to configure Document Object Model (DOM) elements—the foundational tag structure of HTML—and how to animate these elements across the viewport. He also looks at the HTML5 canvas element and how to perform complex animations within this single, powerful drawing surface. Finally, he looks at the future of JavaScript animation through the Web Animations API, which provides a common language for browsers and developers to describe animations and interact with playback.",Course,2020-03-20 02:09 UTC,N/A,false,N/A,
Unity 5: Network Gaming,"Adding a multiplayer component can enhance a game's overall playability—not to mention its staying power in the marketplace. In this course, boost your network development skills and discover how to use Unity 5 to add multiplayer network components to your games. Bruce Van Horn starts by covering a little network game theory, and then dives into the creation of a multiplayer tank combat game. Learn how to adapt this classic game concept into a network-playable LAN game that can be played over the Internet. Along the way, learn about setting up the Network Manager, adding health indicators, fragging the enemy, and more.",Course,2019-02-21 11:53 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p>

<p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p>",Course,2024-06-22 06:49 UTC,N/A,false,N/A,
AI Show: The Basics of Prompt Engineering with Azure OpenAI Service,"<p>The AI Show is a licensed partnership with Microsoft Learn that showcases the amazing work happening in AI at Microsoft. In this episode, learn how to revolutionize your enterprise data with ChatGPT. Did you know the hottest new programming language is English? Join Seth Juarez as he welcomes Marco Casalaina for a demo on how to program your own ChatGPT with natural language and learn how prompt engineering really works.</p><p>This course was created by Microsoft Learn. We are pleased to host this training in our library.</p>",Course,2024-12-19 13:57 UTC,N/A,false,N/A,
ESLint: Integrating with Your Workflow,"Errors crop up in even the most experienced JavaScript developer's code. ESLint can help you catch these issues early and often; it gives you a heads-up when your JavaScript code might work, but isn't quite right. This popular tool highlights errors as you're coding and allows you to write and enforce custom rules. In this concise course—the first in the ESLint series—learn how to integrate ESLint into your workflow to customize automatic error checking. Instructor Sasha Vodnik steps through how to add ESLint to a project and configure it to examine code style and automatically populate your configuration with rules from a style guide. Plus, learn how to configure and use the ESLint extension for your code editor.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2025-02-01 00:46 UTC,N/A,false,N/A,
Angular: Workflows,"Discover how to be a more productive Angular developer. In this course, senior UI engineer Victor Mejia draws on his own experience developing front-end projects with Angular. He introduces a set of tools and workflows that will make your job building Angular apps more efficient and fun. First, review the Angular CLI and then dive into unit testing workflows. Find out how to configure Prettier to automate code formatting, and then learn how to build and publish Angular libraries. Finally, discover how to implement a continuous integration workflow, using CircleCI to set up gateway checks, run automated tests, and build out your apps.",Course,2019-06-20 00:07 UTC,N/A,false,N/A,
React: Building Large Apps,"React was built for large and intricate applications. If you want to build bigger and bolder apps with React, you need make its flexibility work for you. That means managing your project, your components, and your application state.  Emmanuel Henri explores tools that make building and deploying at large scale easier, and let you see what is happening in your React application well above what you can determine with a typical debugger. Learn best practices for project organization, state management, testing, continuous integration, progressive web apps, and server-side rendering.",Course,2020-03-16 23:35 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,Course,2020-05-29 01:46 UTC,N/A,false,N/A,
DevOps Foundations (2016),"DevOps is not a framework or a workflow. It's a culture that is overtaking the business world. DevOps ensures collaboration and communication between software engineers (Dev) and IT operations (Ops). With DevOps, changes make it to production faster. Resources are easier to share. And large-scale systems are easier to manage and maintain.<br><br>

In this course, well-known DevOps practitioners Ernest Mueller and James Wickett provide an overview of the DevOps movement, focusing on the core value of CAMS (culture, automation, measurement, and sharing). They cover the various methodologies and tools an organization can adopt to transition into DevOps, looking at both agile and lean project management principles and how old-school principles like ITIL, ITSM, and SDLC fit within DevOps.<br><br> 

The course concludes with a discussion of the three main tenets of DevOps—infrastructure automation, continuous delivery, and reliability engineering—as well as some additional resources and a brief look into what the future holds as organizations transition from the cloud to serverless architectures.",Course,2019-02-21 11:50 UTC,N/A,false,N/A,
Navigating the EU AI Act,"<p>The European Union (EU) Artificial Intelligence (AI) Act is a first-of-its-kind global regulation for trustworthy AI. Once passed into law, the act will enforce a legal framework using a risk-based approach aimed at regulating the development, deployment, and use of AI in the European Union. Companies failing to abide by the reporting and transparency requirements defined in the act will be subject to monetary repercussions.
</p><p>
In this course, Tristan Ingold examines the transformative EU AI Act. He defines AI systems in the context of the EU and identifies requirements and obligations imposed by the act on AI system providers and users. He also details the various business and technical challenges and opportunities that stakeholders will have to consider. Whether you are a developer, business leaders, risk and compliance professional, or just interested in understanding the future of AI regulation, this course should help you understand how legislative developments will impact AI systems.",Course,2024-10-26 13:40 UTC,N/A,false,N/A,
Learning React Native (2017),"Get introduced to React Native and learn how to build applications in JavaScript. This course explores React Native and gets you started with components, views, and platform APIs. Join Alex Banks as he takes you through setting up your first app, creating style sheets, working with flexbox, implementing navigation, incorporating scrolling, adding touch responses, and more.",Course,2019-01-28 12:47 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2024-11-25 07:13 UTC,N/A,false,N/A,
